answers,query_idx,game,subject
4.33,2,3,16
0.0,3,3,16
3.2,4,3,16
1.0,0,4,16
-6.0,1,4,16
3.4,2,4,16
0.3,3,4,16
0.3,4,4,16
500.0,0,0,17
0.6,1,0,17
50.0,2,0,17
100.0,3,0,17
50.0,4,0,17
2.6,0,1,17
3.5,1,1,17
1.7,2,1,17
-13.0,3,1,17
-1.0,4,1,17
3.0,0,2,17
1.7,1,2,17
3.4,2,2,17
1.8,3,2,17
3.0,4,2,17
6.5,0,3,17
5.0,1,3,17
5.5,2,3,17
2.86,3,3,17
2.6,4,3,17
4.5,0,4,17
3.5,1,4,17
3.6,2,4,17
4.4,3,4,17
4.4,4,4,17
1.7,0,0,18
90.0,1,0,18
140.0,2,0,18
10.0,3,0,18
9.0,4,0,18
2.5,0,1,18
3.9,1,1,18
2.6,2,1,18
0.7,3,1,18
-1.0,4,1,18
11.7,0,2,18
3.67,1,2,18
2.7,2,2,18
3.5,3,2,18
7.5,4,2,18
12.1,0,3,18
11.8,1,3,18
3.5,2,3,18
3.21,3,3,18
7.0,4,3,18
7.0,0,4,18
9.3,1,4,18
7.9,2,4,18
8.43,3,4,18
11.1,4,4,18
65.0,0,0,19
55.0,1,0,19
1.5,2,0,19
0.5,3,0,19
0.5,4,0,19
7.5,0,1,19
8.0,1,1,19
8.0,2,1,19
8.5,3,1,19
7.7,4,1,19
4.7,0,2,19
5.7,1,2,19
7.7,2,2,19
5.5,3,2,19
5.9,4,2,19
4.5,0,3,19
3.4,1,3,19
4.4,2,3,19
3.55,3,3,19
3.6,4,3,19
3.5,0,4,19
8.0,1,4,19
3.2,2,4,19
3.4,3,4,19
3.2,4,4,19
0.87,0,0,20
0.75,1,0,20
97.5,2,0,20
0.8,3,0,20
200.0,4,0,20
-10.0,0,1,20
-11.0,1,1,20
-10.0,2,1,20
-7.0,3,1,20
-10.0,4,1,20
-10.0,0,2,20
-9.0,1,2,20
-5.0,2,2,20
-8.0,3,2,20
-9.0,4,2,20
-8.0,0,3,20
-12.0,1,3,20
-12.0,2,3,20
-12.0,3,3,20
-12.0,4,3,20
12.3,0,4,20
-5.0,1,4,20
11.4,2,4,20
12.5,3,4,20
12.4,4,4,20
0.5,0,0,21
0.9,1,0,21
2.0,2,0,21
9.5,3,0,21
50.0,4,0,21
5.1,0,1,21
3.0,1,1,21
9.3,2,1,21
8.0,3,1,21
4.8,4,1,21
6.9,0,2,21
11.2,1,2,21
5.75,2,2,21
3.6,3,2,21
9.7,4,2,21
21.0,0,3,21
15.1,1,3,21
21.7,2,3,21
24.4,3,3,21
20.0,4,3,21
11.7,0,4,21
9.4,1,4,21
7.7,2,4,21
11.8,3,4,21
11.5,4,4,21
0.006,0,0,22
0.85,1,0,22
0.5,2,0,22
5.0,3,0,22
9.0,4,0,22
11.3,0,1,22
11.5,1,1,22
7.9,2,1,22
11.5,3,1,22
11.3,4,1,22
11.7,0,2,22
11.65,1,2,22
11.3,2,2,22
12.4,3,2,22
7.8,4,2,22
8.3,0,3,22
11.3,1,3,22
13.5,2,3,22
3.9,3,3,22
11.3,4,3,22
9.5,0,4,22
11.3,1,4,22
11.3,2,4,22
11.3,3,4,22
8.5,4,4,22
2.64,0,0,23
0.7,1,0,23
26.0,2,0,23
0.5,3,0,23
25.0,4,0,23
0.16,0,1,23
0.6,1,1,23
0.4,2,1,23
0.6,3,1,23
0.75,4,1,23
1.2,0,2,23
0.4,1,2,23
1.0,2,2,23
1.7,3,2,23
0.9,4,2,23
2.5,0,3,23
0.85,1,3,23
2.725,2,3,23
4.57,3,3,23
1.4,4,3,23
2.5,0,4,23
7.7,1,4,23
5.71,2,4,23
3.2,3,4,23
5.0,4,4,23
10.0,0,0,24
25.0,1,0,24
0.5,2,0,24
0.5,3,0,24
10.0,4,0,24
12.0,0,1,24
5.6,1,1,24
8.0,2,1,24
11.45,3,1,24
7.9,4,1,24
3.5,0,2,24
7.0,1,2,24
5.0,2,2,24
1.5,3,2,24
7.7,4,2,24
5.5,0,3,24
9.0,1,3,24
5.4,2,3,24
7.7,3,3,24
8.6,4,3,24
9.5,0,4,24
9.4,1,4,24
11.1,2,4,24
9.0,3,4,24
9.7,4,4,24
12.0,0,0,25
0.65,1,0,25
0.5,2,0,25
24.0,3,0,25
18.0,4,0,25
14.5,0,1,25
8.5,1,1,25
12.7,2,1,25
13.7,3,1,25
12.7,4,1,25
11.7,0,2,25
11.4,1,2,25
12.7,2,2,25
11.75,3,2,25
13.5,4,2,25
9.8,0,3,25
9.7,1,3,25
9.92,2,3,25
9.4,3,3,25
9.85,4,3,25
8.5,0,4,25
9.5,1,4,25
11.5,2,4,25
9.1,3,4,25
9.5,4,4,25
110.0,0,0,26
12.0,1,0,26
0.75,2,0,26
225.0,3,0,26
0.65,4,0,26
-1.0,0,1,26
-0.0,1,1,26
-1.0,2,1,26
0.7,3,1,26
-4.0,4,1,26
-4.0,0,2,26
0.5,1,2,26
0.5,2,2,26
0.33,3,2,26
-7.0,4,2,26
0.72,0,3,26
0.0,1,3,26
2.5,2,3,26
0.5,3,3,26
0.7,4,3,26
3.66,0,4,26
0.7,1,4,26
3.0,2,4,26
3.2,3,4,26
0.4,4,4,26
0.5,0,0,27
0.6,1,0,27
2.1,2,0,27
0.75,3,0,27
0.5,4,0,27
11.4,0,1,27
12.5,1,1,27
9.7,2,1,27
11.5,3,1,27
12.0,4,1,27
9.1,0,2,27
9.71,1,2,27
11.5,2,2,27
9.5,3,2,27
10.0,4,2,27
9.0,0,3,27
9.4,1,3,27
4.0,2,3,27
9.1,3,3,27
9.6,4,3,27
9.1,0,4,27
11.6,1,4,27
5.3,2,4,27
9.0,3,4,27
-3.0,4,4,27
0.5,0,0,28
0.5,1,0,28
0.75,2,0,28
100.0,3,0,28
0.5,4,0,28
5.6,0,1,28
3.5,1,1,28
2.9,2,1,28
3.09,3,1,28
3.7,4,1,28
3.4,0,2,28
3.6,1,2,28
4.7,2,2,28
3.7,3,2,28
4.73,4,2,28
5.5,0,3,28
2.0,1,3,28
4.4,2,3,28
5.6,3,3,28
0.5,4,3,28
5.6,0,4,28
12.5,1,4,28
5.5,2,4,28
9.5,3,4,28
3.5,4,4,28
2.0,0,0,29
99.0,1,0,29
0.5,2,0,29
0.5,3,0,29
15.0,4,0,29
2.75,0,1,29
-1.0,1,1,29
9.8,2,1,29
3.9,3,1,29
2.3,4,1,29
9.1,0,2,29
3.7,1,2,29
3.5,2,2,29
9.5,3,2,29
4.8,4,2,29
-4.0,0,3,29
0.9,1,3,29
-9.0,2,3,29
11.5,3,3,29
-10.0,4,3,29
0.5,0,4,29
4.5,1,4,29
-3.0,2,4,29
6.5,3,4,29
0.4,4,4,29
1000.0,0,0,30
12.0,1,0,30
0.75,2,0,30
0.5,3,0,30
80.0,4,0,30
7.58,0,1,30
8.5,1,1,30
9.1,2,1,30
9.0,3,1,30
8.0,4,1,30
8.65,0,2,30
9.9,1,2,30
12.5,2,2,30
9.2,3,2,30
21.4,4,2,30
9.3,0,3,30
9.5,1,3,30
22.5,2,3,30
9.1,3,3,30
11.4,4,3,30
9.5,0,4,30
9.5,1,4,30
10.5,2,4,30
9.5,3,4,30
11.5,4,4,30
48.0,0,0,31
550.0,1,0,31
0.5,2,0,31
200.0,3,0,31
0.5,4,0,31
7.5,0,1,31
6.5,1,1,31
8.1,2,1,31
8.4,3,1,31
7.5,4,1,31
9.3,0,2,31
5.9,1,2,31
8.0,2,2,31
7.5,3,2,31
7.1,4,2,31
5.1,0,3,31
6.3,1,3,31
5.7,2,3,31
5.1,3,3,31
5.7,4,3,31
7.5,0,4,31
7.4,1,4,31
7.5,2,4,31
3.8,3,4,31
5.7,4,4,31
150.0,0,0,32
12000.0,1,0,32
0.5,2,0,32
0.5,3,0,32
9.0,4,0,32
1.3,0,1,32
2.45,1,1,32
1.52,2,1,32
0.73,3,1,32
1.0,4,1,32
12.4,0,2,32
9.2,1,2,32
12.4,2,2,32
7.4,3,2,32
9.4,4,2,32
12.5,0,3,32
12.5,1,3,32
12.75,2,3,32
9.2,3,3,32
11.1,4,3,32
12.5,0,4,32
11.4,1,4,32
11.1,2,4,32
11.1,3,4,32
12.5,4,4,32
4.0,0,0,33
9.0,1,0,33
9.0,2,0,33
25.0,3,0,33
0.75,4,0,33
8.5,0,1,33
0.5,1,1,33
8.42,2,1,33
10.4,3,1,33
11.3,4,1,33
6.7,0,2,33
3.0,1,2,33
9.5,2,2,33
14.5,3,2,33
9.5,4,2,33
9.9,0,3,33
2.5,1,3,33
12.5,2,3,33
9.5,3,3,33
7.7,4,3,33
12.9,0,4,33
18.3,1,4,33
9.8,2,4,33
9.0,3,4,33
6.5,4,4,33
0.5,0,0,34
140.0,1,0,34
2.5,2,0,34
80.0,3,0,34
2.5,4,0,34
5.5,0,1,34
4.1,1,1,34
5.8,2,1,34
8.2,3,1,34
5.6,4,1,34
7.7,0,2,34
3.8,1,2,34
5.1,2,2,34
3.6,3,2,34
6.9,4,2,34
9.21,0,3,34
9.1,1,3,34
0.7,2,3,34
13.1,3,3,34
2.66,4,3,34
0.9,0,4,34
-8.0,1,4,34
-7.0,2,4,34
0.7,3,4,34
3.4,4,4,34
0.6,0,0,35
9.5,1,0,35
0.5,2,0,35
0.5,3,0,35
200.0,4,0,35
2.25,0,1,35
2.4,1,1,35
4.9,2,1,35
2.6,3,1,35
2.6,4,1,35
-0.0,0,2,35
3.5,1,2,35
4.0,2,2,35
6.1,3,2,35
7.7,4,2,35
3.5,0,3,35
5.68,1,3,35
3.9,2,3,35
3.5,3,3,35
3.5,4,3,35
0.9,0,4,35
0.5,1,4,35
3.0,2,4,35
0.9,3,4,35
0.5,4,4,35
9.5,0,0,36
1.75,1,0,36
0.75,2,0,36
9.0,3,0,36
0.0,4,0,36
9.5,0,1,36
8.4,1,1,36
9.0,2,1,36
5.5,3,1,36
13.0,4,1,36
9.5,0,2,36
11.0,1,2,36
8.9,2,2,36
7.9,3,2,36
9.6,4,2,36
9.3,0,3,36
9.5,1,3,36
10.5,2,3,36
11.7,3,3,36
9.5,4,3,36
9.5,0,4,36
9.85,1,4,36
9.5,2,4,36
5.8,3,4,36
9.5,4,4,36
200.0,0,0,37
0.5,1,0,37
12.0,2,0,37
0.5,3,0,37
0.5,4,0,37
16.4,0,1,37
16.9,1,1,37
12.5,2,1,37
11.5,3,1,37
12.4,4,1,37
11.75,0,2,37
9.5,1,2,37
9.2,2,2,37
11.5,3,2,37
9.5,4,2,37
9.4,0,3,37
11.7,1,3,37
9.4,2,3,37
7.1,3,3,37
11.5,4,3,37
9.2,0,4,37
11.4,1,4,37
4.5,2,4,37
12.5,3,4,37
16.4,4,4,37
9.0,0,0,38
2.5,1,0,38
35.0,2,0,38
21.0,3,0,38
0.4,4,0,38
2.5,0,1,38
2.5,1,1,38
3.5,2,1,38
3.4,3,1,38
2.5,4,1,38
11.7,0,2,38
21.4,1,2,38
11.5,2,2,38
21.3,3,2,38
11.7,4,2,38
11.4,0,3,38
3.0,1,3,38
2.95,2,3,38
5.5,3,3,38
15.4,4,3,38
3.9,0,4,38
13.9,1,4,38
6.9,2,4,38
9.5,3,4,38
5.5,4,4,38
0.5,0,0,39
0.5,1,0,39
3.0,2,0,39
50.0,3,0,39
0.5,4,0,39
-8.0,0,1,39
-4.0,1,1,39
-5.0,2,1,39
-4.0,3,1,39
-7.0,4,1,39
4.0,0,2,39
1.7,1,2,39
3.63,2,2,39
3.7,3,2,39
3.9,4,2,39
8.1,0,3,39
2.5,1,3,39
7.1,2,3,39
8.75,3,3,39
4.1,4,3,39
0.5,0,4,39
3.8,1,4,39
3.5,2,4,39
4.6,3,4,39
6.5,4,4,39
0.5,0,0,40
0.75,1,0,40
2.0,2,0,40
9.5,3,0,40
100.0,4,0,40
2.8,0,1,40
0.7,1,1,40
0.4,2,1,40
2.85,3,1,40
3.5,4,1,40
3.5,0,2,40
3.2,1,2,40
3.3,2,2,40
3.0,3,2,40
3.7,4,2,40
4.0,0,3,40
3.0,1,3,40
3.2,2,3,40
5.5,3,3,40
2.6,4,3,40
3.5,0,4,40
5.4,1,4,40
5.8,2,4,40
5.4,3,4,40
3.1,4,4,40
990.0,0,0,41
125.0,1,0,41
240.0,2,0,41
0.95,3,0,41
0.6,4,0,41
-6.0,0,1,41
-5.0,1,1,41
-5.0,2,1,41
-3.0,3,1,41
-6.0,4,1,41
-3.0,0,2,41
0.7,1,2,41
-3.0,2,2,41
0.7,3,2,41
3.5,4,2,41
0.5,0,3,41
3.5,1,3,41
4.4,2,3,41
3.2,3,3,41
-3.0,4,3,41
4.5,0,4,41
3.2,1,4,41
3.5,2,4,41
4.5,3,4,41
1.7,4,4,41
100.0,0,0,42
9.0,1,0,42
0.75,2,0,42
0.5,3,0,42
205.5,4,0,42
3.0,0,1,42
12.5,1,1,42
1.3,2,1,42
11.3,3,1,42
7.7,4,1,42
15.9,0,2,42
11.4,1,2,42
9.5,2,2,42
11.4,3,2,42
7.5,4,2,42
9.6,0,3,42
0.3,1,3,42
9.5,2,3,42
12.5,3,3,42
12.0,4,3,42
0.7,0,4,42
-4.0,1,4,42
8.9,2,4,42
10.4,3,4,42
4.41,4,4,42
12.0,0,0,43
1.25,1,0,43
200.0,2,0,43
100.0,3,0,43
12.0,4,0,43
-1.0,0,1,43
3.5,1,1,43
7.0,2,1,43
3.95,3,1,43
-4.0,4,1,43
5.1,0,2,43
5.5,1,2,43
4.3,2,2,43
5.3,3,2,43
6.95,4,2,43
3.5,0,3,43
2.7,1,3,43
4.0,2,3,43
4.0,3,3,43
4.7,4,3,43
1.36,0,4,43
3.3,1,4,43
3.26,2,4,43
3.6,3,4,43
3.4,4,4,43
10.0,0,0,44
9.0,1,0,44
0.5,2,0,44
0.5,3,0,44
990.0,4,0,44
-1.0,0,1,44
-5.0,1,1,44
0.7,2,1,44
2.7,3,1,44
2.0,4,1,44
3.44,0,2,44
3.2,1,2,44
3.9,2,2,44
2.9,3,2,44
5.5,4,2,44
0.5,0,3,44
2.5,1,3,44
0.5,2,3,44
5.1,3,3,44
1.7,4,3,44
11.4,0,4,44
3.0,1,4,44
3.8,2,4,44
-5.0,3,4,44
0.7,4,4,44
0.5,0,0,45
998.0,1,0,45
8.0,2,0,45
480.0,3,0,45
200.0,4,0,45
2.6,0,1,45
3.6,1,1,45
3.7,2,1,45
3.4,3,1,45
2.7,4,1,45
9.75,0,2,45
9.7,1,2,45
9.45,2,2,45
7.5,3,2,45
9.0,4,2,45
9.4,0,3,45
10.7,1,3,45
9.7,2,3,45
10.7,3,3,45
9.4,4,3,45
9.67,0,4,45
12.7,1,4,45
12.75,2,4,45
9.0,3,4,45
12.7,4,4,45
9.0,0,0,46
200.0,1,0,46
9.5,2,0,46
85.0,3,0,46
100.0,4,0,46
8.7,0,1,46
5.75,1,1,46
5.7,2,1,46
3.47,3,1,46
11.5,4,1,46
0.9,0,2,46
4.85,1,2,46
3.5,2,2,46
7.46,3,2,46
5.0,4,2,46
4.0,0,3,46
3.4,1,3,46
3.5,2,3,46
3.7,3,3,46
3.36,4,3,46
2.5,0,4,46
5.0,1,4,46
4.5,2,4,46
3.75,3,4,46
4.5,4,4,46
9.0,0,0,47
3.0,1,0,47
1.5,2,0,47
9.0,3,0,47
3.0,4,0,47
21.5,0,1,47
21.0,1,1,47
21.3,2,1,47
21.3,3,1,47
23.4,4,1,47
21.0,0,2,47
15.0,1,2,47
21.9,2,2,47
12.63,3,2,47
21.0,4,2,47
11.5,0,3,47
16.6,1,3,47
12.5,2,3,47
14.6,3,3,47
12.5,4,3,47
14.0,0,4,47
12.9,1,4,47
11.7,2,4,47
16.3,3,4,47
10.9,4,4,47
13.0,0,0,48
20.0,1,0,48
0.5,2,0,48
100.0,3,0,48
0.7,4,0,48
3.7,0,1,48
3.5,1,1,48
3.75,2,1,48
3.7,3,1,48
3.9,4,1,48
10.5,0,2,48
9.5,1,2,48
5.4,2,2,48
0.6,3,2,48
7.7,4,2,48
9.7,0,3,48
8.4,1,3,48
13.3,2,3,48
10.0,3,3,48
9.5,4,3,48
9.6,0,4,48
7.5,1,4,48
13.3,2,4,48
0.8,3,4,48
6.7,4,4,48
0.5,0,0,49
0.9,1,0,49
24.0,2,0,49
0.87,3,0,49
9.0,4,0,49
1.7,0,1,49
0.0,1,1,49
0.5,2,1,49
1.7,3,1,49
-5.0,4,1,49
2.5,0,2,49
0.3,1,2,49
-7.0,2,2,49
4.1,3,2,49
4.6,4,2,49
3.0,0,3,49
0.5,1,3,49
1.7,2,3,49
0.7,3,3,49
9.1,4,3,49
5.1,0,4,49
3.5,1,4,49
4.5,2,4,49
5.1,3,4,49
2.4,4,4,49
