machine,subject,x,y_pred
1,6,52,34
1,6,56,36
1,6,60,38
1,6,64,40
1,6,68,42
1,6,72,44
1,6,76,46
1,6,80,48
1,6,84,50
1,6,88,52
1,6,92,54
1,6,96,56
1,6,100,58
1,7,4,16
1,7,8,64
1,7,12,144
1,7,16,256
1,7,20,400
1,7,24,576
1,7,28,784
1,7,32,1024
1,7,36,1296
1,7,40,1600
1,7,44,1936
1,7,48,2304
1,7,52,2704
1,7,56,3136
1,7,60,3600
1,7,64,4096
1,7,68,4624
1,7,72,5184
1,7,76,5786
1,7,80,6400
1,7,84,7056
1,7,88,7744
1,7,92,8464
1,7,96,9216
1,7,100,10000
1,8,4,16
1,8,8,64
1,8,12,144
1,8,16,256
1,8,20,400
1,8,24,576
1,8,28,784
1,8,32,1024
1,8,36,1296
1,8,40,1600
1,8,44,1936
1,8,48,2304
1,8,52,2704
1,8,56,3136
1,8,60,3600
1,8,64,4096
1,8,68,4624
1,8,72,5184
1,8,76,5786
1,8,80,6400
1,8,84,7056
1,8,88,7744
1,8,92,8464
1,8,96,9216
1,8,100,10000
1,9,4,16
1,9,8,64
1,9,12,144
1,9,16,256
1,9,20,400
1,9,24,576
1,9,28,784
1,9,32,1024
1,9,36,1296
1,9,40,1600
1,9,44,1936
1,9,48,2304
1,9,52,2704
1,9,56,3136
1,9,60,3600
1,9,64,4096
1,9,68,4624
1,9,72,5184
1,9,76,5776
1,9,80,6400
1,9,84,7056
1,9,88,7744
1,9,92,8464
1,9,96,9216
1,9,100,10000
1,10,4,16
1,10,8,32
1,10,12,48
1,10,16,64
1,10,20,80
1,10,24,96
1,10,28,112
1,10,32,128
1,10,36,144
1,10,40,160
1,10,44,176
1,10,48,192
1,10,52,208
1,10,56,224
1,10,60,240
1,10,64,256
1,10,68,272
1,10,72,288
1,10,76,304
1,10,80,320
1,10,84,336
1,10,88,352
1,10,92,368
1,10,96,384
1,10,100,400
1,11,4,16
1,11,8,64
1,11,12,144
1,11,16,256
1,11,20,400
1,11,24,576
1,11,28,784
1,11,32,1024
1,11,36,1296
1,11,40,1600
1,11,44,1936
1,11,48,2304
1,11,52,2704
1,11,56,3136
1,11,60,3600
1,11,64,4096
1,11,68,4624
1,11,72,5184
1,11,76,5786
1,11,80,6400
1,11,84,7056
1,11,88,7744
1,11,92,8464
1,11,96,9216
1,11,100,10000
1,12,4,16
1,12,8,64
1,12,12,144
1,12,16,256
1,12,20,400
1,12,24,576
1,12,28,784
1,12,32,1024
1,12,36,1296
1,12,40,1600
1,12,44,1936
1,12,48,2304
1,12,52,2704
1,12,56,3136
1,12,60,3600
1,12,64,4096
1,12,68,4624
1,12,72,5184
1,12,76,5786
1,12,80,6400
1,12,84,7056
1,12,88,7744
1,12,92,8464
1,12,96,9216
1,12,100,10000
1,13,4,16
1,13,8,64
1,13,12,144
1,13,16,256
1,13,20,400
1,13,24,576
1,13,28,784
1,13,32,1024
1,13,36,1296
1,13,40,1600
1,13,44,1936
1,13,48,2304
1,13,52,2704
1,13,56,3136
1,13,60,3600
1,13,64,4096
1,13,68,4624
1,13,72,5184
1,13,76,5784
1,13,80,6400
1,13,84,7056
1,13,88,7744
1,13,92,8464
1,13,96,9216
1,13,100,10000
1,14,4,16
1,14,8,128
1,14,12,1296
1,14,16,16384
1,14,20,2097152
1,14,24,262144
1,14,28,3460304
1,14,32,429981696
1,14,36,641102976
1,14,40,10307921510
1,14,44,16940658944000
1,14,48,282429536481000
1,14,52,48214958388675215000
1,14,56,827240261886336652928875000
1,14,60,14116709537473504200268616659125000
1,14,64,249418605620129646585589951440156250000
1,14,68,4281358736568379754940250760252803320312500000
1,14,72,75013528835460977936174876411716308593750000
1,14,76,13203019890047068876059118611900240440368652343
1,14,80,23312880329147976197804278230128288269042968
1,14,84,4179317666930596879995098462968542193389892578
1,14,88,7620084362176067999520026568335158717346191406
1,14,92,1381378009068317363734982663078620338439941406
1,14,96,2558015293245289896697518355589942932128906
1,14,100,472065382759860060823108474636077880859375
1,15,4,16
1,15,8,64
1,15,12,144
1,15,16,256
1,15,20,400
1,15,24,576
1,15,28,784
1,15,32,1024
1,15,36,1296
1,15,40,1600
1,15,44,1936
1,15,48,2304
1,15,52,2704
1,15,56,3136
1,15,60,3600
1,15,64,4096
1,15,68,4624
1,15,72,5184
1,15,76,5784
1,15,80,6400
1,15,84,7056
1,15,88,7744
1,15,92,8464
1,15,96,9216
1,15,100,10000
1,16,4,16
1,16,8,64
1,16,12,144
1,16,16,256
1,16,20,400
1,16,24,576
1,16,28,784
1,16,32,1024
1,16,36,1296
1,16,40,1600
1,16,44,1936
1,16,48,2304
1,16,52,2704
1,16,56,3136
1,16,60,3600
1,16,64,4096
1,16,68,4624
1,16,72,5184
1,16,76,5776
1,16,80,6400
1,16,84,7056
1,16,88,7744
1,16,92,8464
1,16,96,9216
1,16,100,10000
1,17,4,16
1,17,8,64
1,17,12,144
1,17,16,256
1,17,20,400
1,17,24,576
1,17,28,784
1,17,32,1024
1,17,36,1296
1,17,40,1600
1,17,44,1936
1,17,48,2304
1,17,52,2704
1,17,56,3136
1,17,60,3600
1,17,64,4096
1,17,68,4624
1,17,72,5184
1,17,76,5776
1,17,80,6400
1,17,84,7056
1,17,88,7744
1,17,92,8464
1,17,96,9216
1,17,100,10000
1,18,4,2
1,18,8,10
1,18,12,18
1,18,16,26
1,18,20,34
1,18,24,42
1,18,28,50
1,18,32,58
1,18,36,66
1,18,40,74
1,18,44,82
1,18,48,90
1,18,52,98
1,18,56,106
1,18,60,114
1,18,64,122
1,18,68,130
1,18,72,138
1,18,76,146
1,18,80,154
1,18,84,162
1,18,88,170
1,18,92,178
1,18,96,186
1,18,100,194
1,19,4,20
1,19,8,40
1,19,12,60
1,19,16,80
1,19,20,100
1,19,24,120
1,19,28,140
1,19,32,160
1,19,36,180
1,19,40,200
1,19,44,220
1,19,48,240
1,19,52,260
1,19,56,280
1,19,60,300
1,19,64,320
1,19,68,340
1,19,72,360
1,19,76,380
1,19,80,400
1,19,84,420
1,19,88,440
1,19,92,460
1,19,96,480
1,19,100,500
1,20,4,16
1,20,8,64
1,20,12,144
1,20,16,256
1,20,20,400
1,20,24,576
1,20,28,784
1,20,32,1024
1,20,36,1296
1,20,40,1600
1,20,44,1936
1,20,48,2304
1,20,52,2704
1,20,56,3136
1,20,60,3600
1,20,64,4096
1,20,68,4624
1,20,72,5184
1,20,76,5792
1,20,80,6400
1,20,84,7056
1,20,88,7744
1,20,92,8464
1,20,96,9216
1,20,100,10000
