machine,subject,x,y_pred
1,8,88,7744
1,8,92,8464
1,8,96,9216
1,8,100,10000
1,9,4,2
1,9,8,11
1,9,12,14
1,9,16,17
1,9,20,20
1,9,24,23
1,9,28,26
1,9,32,29
1,9,36,32
1,9,40,35
1,9,44,38
1,9,48,41
1,9,52,44
1,9,56,47
1,9,60,50
1,9,64,53
1,9,68,56
1,9,72,59
1,9,76,62
1,9,80,65
1,9,84,68
1,9,88,71
1,9,92,74
1,9,96,77
1,9,100,80
1,10,4,16
1,10,8,64
1,10,12,144
1,10,16,256
1,10,20,400
1,10,24,576
1,10,28,784
1,10,32,1024
1,10,36,1296
1,10,40,1600
1,10,44,1936
1,10,48,2304
1,10,52,2704
1,10,56,3136
1,10,60,3600
1,10,64,4096
1,10,68,4624
1,10,72,5184
1,10,76,5776
1,10,80,6400
1,10,84,7056
1,10,88,7744
1,10,92,8464
1,10,96,9216
1,10,100,10000
1,11,4,10
1,11,8,18
1,11,12,26
1,11,16,34
1,11,20,42
1,11,24,50
1,11,28,58
1,11,32,66
1,11,36,74
1,11,40,82
1,11,44,90
1,11,48,98
1,11,52,106
1,11,56,114
1,11,60,122
1,11,64,130
1,11,68,138
1,11,72,146
1,11,76,154
1,11,80,162
1,11,84,170
1,11,88,178
1,11,92,186
1,11,96,194
1,11,100,202
1,12,4,16
1,12,8,256
1,12,12,1296
1,12,16,4096
1,12,20,10000
1,12,24,20736
1,12,28,38416
1,12,32,65536
1,12,36,116226
1,12,40,200000
1,12,44,341376
1,12,48,576000
1,12,52,976563
1,12,56,1679616
1,12,60,2824752
1,12,64,4782969
1,12,68,8100000
1,12,72,13366976
1,12,76,22579200
1,12,80,38443359
1,12,84,64000000
1,12,88,106044992
1,12,92,170859375
1,12,96,28211099
1,12,100,469762049
1,13,4,16
1,13,8,64
1,13,12,144
1,13,16,256
1,13,20,400
1,13,24,576
1,13,28,784
1,13,32,1024
1,13,36,1296
1,13,40,1600
1,13,44,1936
1,13,48,2304
1,13,52,2704
1,13,56,3136
1,13,60,3600
1,13,64,4096
1,13,68,4624
1,13,72,5184
1,13,76,5786
1,13,80,6400
1,13,84,7056
1,13,88,7744
1,13,92,8464
1,13,96,9216
1,13,100,10000
1,14,4,10
1,14,8,20
1,14,12,30
1,14,16,40
1,14,20,50
1,14,24,60
1,14,28,70
1,14,32,80
1,14,36,90
1,14,40,100
1,14,44,110
1,14,48,120
1,14,52,130
1,14,56,140
1,14,60,150
1,14,64,160
1,14,68,170
1,14,72,180
1,14,76,190
1,14,80,200
1,14,84,210
1,14,88,220
1,14,92,230
1,14,96,240
1,14,100,250
1,15,4,5.5
1,15,8,10.5
1,15,12,15.5
1,15,16,20.5
1,15,20,25.5
1,15,24,30.5
1,15,28,35.5
1,15,32,40.5
1,15,36,45.5
1,15,40,50.5
1,15,44,55.5
1,15,48,60.5
1,15,52,65.5
1,15,56,70.5
1,15,60,75.5
1,15,64,80.5
1,15,68,85.5
1,15,72,90.5
1,15,76,95.5
1,15,80,100.5
1,15,84,105.5
1,15,88,110.5
1,15,92,115.5
1,15,96,120.5
1,15,100,125.5
1,16,4,16
1,16,8,64
1,16,12,144
1,16,16,256
1,16,20,400
1,16,24,576
1,16,28,784
1,16,32,1024
1,16,36,1296
1,16,40,1600
1,16,44,1936
1,16,48,2304
1,16,52,2704
1,16,56,3136
1,16,60,3600
1,16,64,4096
1,16,68,4624
1,16,72,5184
1,16,76,5776
1,16,80,6400
1,16,84,7056
1,16,88,7744
1,16,92,8464
1,16,96,9216
1,16,100,10000
1,17,4,16
1,17,8,64
1,17,12,144
1,17,16,256
1,17,20,400
1,17,24,576
1,17,28,784
1,17,32,1024
1,17,36,1296
1,17,40,1600
1,17,44,1936
1,17,48,2304
1,17,52,2704
1,17,56,3136
1,17,60,3600
1,17,64,4096
1,17,68,4624
1,17,72,5184
1,17,76,5786
1,17,80,6400
1,17,84,7056
1,17,88,7744
1,17,92,8464
1,17,96,9216
1,17,100,10000
1,18,4,16
1,18,8,64
1,18,12,144
1,18,16,256
1,18,20,400
1,18,24,576
1,18,28,784
1,18,32,1024
1,18,36,1296
1,18,40,1600
1,18,44,1936
1,18,48,2304
1,18,52,2704
1,18,56,3136
1,18,60,3600
1,18,64,4096
1,18,68,4624
1,18,72,5184
1,18,76,5784
1,18,80,6400
1,18,84,7056
1,18,88,7744
1,18,92,8464
1,18,96,9216
1,18,100,10000
1,19,4,2
1,19,8,5
1,19,12,11
1,19,16,17
1,19,20,23
1,19,24,29
1,19,28,35
1,19,32,41
1,19,36,47
1,19,40,53
1,19,44,59
1,19,48,65
1,19,52,71
1,19,56,77
1,19,60,83
1,19,64,89
1,19,68,95
1,19,72,101
1,19,76,107
1,19,80,113
1,19,84,119
1,19,88,125
1,19,92,131
1,19,96,137
1,19,100,143
1,20,4,16
1,20,8,64
1,20,12,144
1,20,16,256
1,20,20,400
1,20,24,576
1,20,28,784
1,20,32,1024
1,20,36,1296
1,20,40,1600
1,20,44,1936
1,20,48,2304
1,20,52,2704
1,20,56,3136
1,20,60,3600
1,20,64,4096
1,20,68,4624
1,20,72,5184
1,20,76,5786
1,20,80,6400
1,20,84,7056
1,20,88,7744
1,20,92,8464
1,20,96,9216
1,20,100,10000
